Order	Label	X	Y
197	eas4.jpg	924	2272
198	eas4.jpg	762	2179
199	eas4.jpg	657	2119
200	eas4.jpg	573	2053
201	eas4.jpg	483	1984
202	eas4.jpg	420	1906
203	eas4.jpg	351	1756
204	eas4.jpg	309	1624
205	eas5.jpg	364	1476
206	eas5.jpg	476	1516
207	eas5.jpg	620	1532
208	eas5.jpg	776	1600
209	eas5.jpg	864	1672
210	eas5.jpg	964	1792
211	eas5.jpg	1032	1908
212	eas5.jpg	1108	2020
213	eas5.jpg	988	2012
214	eas5.jpg	808	1980
215	eas5.jpg	708	1948
216	eas5.jpg	588	1892
217	eas5.jpg	516	1820
218	eas5.jpg	472	1764
219	eas5.jpg	448	1688
220	eas5.jpg	424	1616
221	eas5.jpg	424	1556
222	eas5.jpg	1821	2440
223	eas5.jpg	1841	2572
224	eas5.jpg	1817	2648
225	eas5.jpg	1765	2776
226	eas5.jpg	1661	2864
227	eas5.jpg	1517	2924
228	eas5.jpg	1365	2992
229	eas5.jpg	1273	3000
230	eas5.jpg	1317	2908
231	eas5.jpg	1353	2828
232	eas5.jpg	1389	2740
233	eas5.jpg	1425	2680
234	eas5.jpg	1465	2620
235	eas5.jpg	1545	2556
236	eas5.jpg	1593	2508
237	eas5.jpg	1665	2480
238	eas5.jpg	1729	2440
239	eas6.jpg	2412	957
240	eas6.jpg	2433	1072
241	eas6.jpg	2496	1171
242	eas6.jpg	2508	1324
243	eas6.jpg	2484	1519
244	eas6.jpg	2409	1744
245	eas6.jpg	2237	1980
246	eas6.jpg	1993	2248
247	eas6.jpg	1741	2476
248	eas6.jpg	1761	2184
249	eas6.jpg	1765	1964
250	eas6.jpg	1809	1748
251	eas6.jpg	1929	1568
252	eas6.jpg	2037	1372
253	eas6.jpg	2145	1240
254	eas6.jpg	2269	1124
255	eas6.jpg	2328	1026
256	eas6.jpg	660	3726
257	eas6.jpg	780	3600
258	eas6.jpg	906	3510
259	eas6.jpg	1032	3408
260	eas6.jpg	1158	3282
261	eas6.jpg	1248	3108
262	eas6.jpg	1290	2892
263	eas6.jpg	1302	2676
264	eas6.jpg	1374	2298
265	eas6.jpg	1080	2580
266	eas6.jpg	1374	2316
267	eas6.jpg	1200	2472
268	eas6.jpg	942	2694
269	eas6.jpg	864	2838
270	eas6.jpg	726	3024
271	eas6.jpg	678	3228
272	eas6.jpg	678	3474
273	eas7.jpg	2374	2779
274	eas7.jpg	2344	2721
275	eas7.jpg	2354	2617
276	eas7.jpg	2344	2493
277	eas7.jpg	2324	2411
278	eas7.jpg	2290	2345
279	eas7.jpg	2210	2271
280	eas7.jpg	2062	2175
281	eas7.jpg	1860	2095
282	eas7.jpg	1914	2161
283	eas7.jpg	1956	2247
284	eas7.jpg	1988	2341
285	eas7.jpg	2004	2425
