"order" "label" "x1" "y1" "x2" "y2" "x3" "y3" "x4" "y4" "x5" "y5" "x6" "y6" "x7" "y7" "x8" "y8" "x9" "y9" "x10" "y10" "x11" "y11" "x12" "y12" "x13" "y13" "x14" "y14" "x15" "y15" "x16" "y16" "x17" "y17"
"21" "isa1.1.jpg" "1140" "1140" " 598" "1212" " 680" "1290" " 768" "1392" " 834" "1492" " 920" "1588" "1074" "1668" "1200" "1700" "1330" "1668" "1516" "1604" "1456" "1562" "1472" "1426" "1382" "1318" "1240" "1264" "1112" "1232" "1010" "1204" " 892" "1192" " 776"
"22" "isa1.1.jpg" "1958" "1958" "1852" "1874" "1936" "1772" "2050" "1658" "2221" "1526" "2335" "1379" "2422" "1211" "2482" "1034" "2458" " 992" "2422" "1016" "2305" "1169" "2152" "1307" "2053" "1424" "1999" "1529" "1954" "1616" "1924" "1733" "1912" "1844" "1897"
"23" "isa1.10.jpg" "2299" "2299" " 819" "2171" " 867" "2057" " 901" "1939" " 947" "1851" "1019" "1773" "1097" "1697" "1189" "1663" "1275" "1663" "1355" "1779" "1357" "1869" "1309" "1957" "1243" "2017" "1173" "2089" "1093" "2143" "1017" "2197" " 937" "2239" " 877"
"24" "isa1.10.jpg" "2547" "2547" "1610" "2478" "1624" "2371" "1651" "2295" "1671" "2219" "1700" "2149" "1735" "2086" "1795" "2035" "1851" "1989" "1983" "2091" "1990" "2185" "1960" "2271" "1895" "2357" "1832" "2411" "1766" "2449" "1716" "2487" "1660" "2518" "1632"
"25" "isa1.11.jpg" " 692" " 692" "1246" " 770" "1384" " 974" "1576" "1082" "1876" "1142" "2176" "1112" "2560" " 992" "2824" " 692" "3214" " 620" "3046" " 506" "2884" " 404" "2746" " 338" "2512" " 260" "2242" " 278" "2014" " 350" "1804" " 446" "1612" " 614" "1444"
"26" "isa1.11.jpg" "2528" "2528" "2212" "2444" "2344" "2366" "2698" "2282" "2914" "2114" "3082" "1976" "3208" "1778" "3286" "1514" "3340" "1292" "3328" " 920" "3328" " 974" "3160" "1070" "2986" "1262" "2632" "1418" "2452" "1634" "2290" "2012" "2194" "2312" "2242"
"27" "isa1.12.jpg" "2196" "2196" "1881" "2115" "1800" "2073" "1755" "1974" "1725" "1803" "1692" "1647" "1623" "1509" "1503" "1428" "1425" "1392" "1293" "1479" "1275" "1608" "1272" "1776" "1359" "1866" "1434" "1980" "1539" "2043" "1623" "2106" "1710" "2157" "1800"
"28" "isa1.12.jpg" "1836" "1836" "  21" "1872" " 141" "1917" " 279" "1965" " 390" "1977" " 555" "1938" " 687" "1872" " 840" "1797" " 948" "1710" "1050" "1641" " 906" "1617" " 738" "1665" " 531" "1737" " 405" "1806" " 336" "1833" " 207" "1839" " 138" "1842" "  63"
"29" "isa1.13.jpg" "2559" "2559" " 723" "2493" " 785" "2425" " 849" "2365" " 921" "2291" "1009" "2195" "1083" "2073" "1131" "1987" "1163" "1883" "1171" "1787" "1155" "1813" "1093" "1887" "1001" "1959" " 949" "2049" " 895" "2141" " 855" "2255" " 823" "2403" " 791"
"30" "isa1.13.jpg" "2099" "2099" "1223" "2000" "1385" "1955" "1508" "1895" "1601" "1820" "1685" "1748" "1733" "1685" "1769" "1535" "1796" "1520" "1706" "1547" "1622" "1592" "1529" "1643" "1484" "1730" "1433" "1796" "1400" "1883" "1349" "1943" "1313" "2027" "1280"
